Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption
1,0,6,0,25.139433,43.43158,1565.694,5,1,0,2.7746987,75.36437
1,1,6,0,27.731651,54.225918,1411.065,1,1,1,21.831385,83.401855
1,2,6,0,28.704277,58.907658,1755.715,2,0,0,6.764672,78.27089
1,3,6,0,20.08047,50.371635,1452.3163,1,0,1,8.623446,56.51985
1,4,6,0,23.097359,51.40142,1094.1304,9,1,0,3.0719693,70.81173
1,5,6,1,29.576036,36.824265,1871.7092,6,0,0,17.62669,84.321884
1,6,6,1,25.131166,35.70962,1607.0012,6,1,0,24.264702,76.165794
1,7,6,1,23.182844,31.67992,1633.9553,8,0,0,27.5171,74.131905
1,8,6,0,25.392,46.399364,1240.3092,6,1,0,2.3075955,78.20624
1,9,6,0,22.21255,32.418465,1705.4203,1,1,0,29.140072,77.99221
1,10,6,1,28.064814,36.451473,1341.4672,2,0,0,0.3522384,82.27444
1,11,6,1,23.422546,30.527342,1604.4183,6,1,1,19.529549,73.27867
1,12,6,1,25.38889,47.601017,1244.6189,1,1,0,21.797443,84.144775
1,13,6,1,20.058739,41.86164,1806.0526,2,0,0,6.384949,60.02252
1,14,6,1,26.731525,37.29787,1419.749,6,0,0,12.0742235,81.18319
1,15,6,0,22.100243,56.09918,1144.8063,8,0,1,10.90077,74.08125
1,16,6,0,29.325577,56.954174,1620.8618,0,1,1,15.4539995,89.49821
1,17,6,1,23.742447,42.245846,1413.5951,1,1,0,3.9406784,72.872444
1,18,6,0,27.524189,47.17243,1832.1998,9,1,0,19.68896,83.899895
1,19,6,1,27.63139,36.140293,1251.5537,4,1,1,8.848083,82.077576
1,20,6,1,28.704994,59.931896,1211.2618,9,1,1,11.703978,94.23629
1,21,6,1,21.101112,30.418007,1677.1052,3,0,0,14.517203,59.67238
1,22,6,0,23.00092,43.638382,1228.3224,1,0,0,4.3028445,70.23523
1,23,6,0,24.749058,57.21685,1253.7089,6,1,1,0.66033757,78.39421
1,0,7,0,26.729366,46.194088,1533.8876,8,1,0,18.581034,87.841644
1,1,7,1,22.575924,57.749573,1040.2062,8,0,1,8.906945,72.92985
1,2,7,0,27.011513,52.637573,1701.2554,9,1,1,24.051355,86.66909
1,3,7,0,26.57,43.33031,1126.0627,7,0,1,2.9434035,80.41143
1,4,7,1,21.820078,56.855186,1289.6161,3,0,1,25.513775,64.2121
1,5,7,0,23.22063,46.07388,1649.5104,2,0,1,18.270529,74.16034
1,6,7,1,28.875374,31.803131,1887.2018,5,1,1,24.468836,81.04958
1,7,7,0,20.833492,51.147007,1096.7031,1,1,0,21.8651,70.308174
1,8,7,0,27.465641,34.94099,1491.288,9,1,0,4.6457386,82.28439
1,9,7,0,20.6235,50.145035,1036.4623,6,0,1,0.37220126,59.847393
1,10,7,1,27.314812,42.936054,1876.5103,4,1,0,1.1813312,82.504036
1,11,7,1,27.425114,32.394787,1155.2301,9,1,0,8.166147,82.78245
1,12,7,1,24.079159,54.095047,1850.322,7,0,0,21.060814,74.67411
1,13,7,0,29.91383,53.34075,1924.1862,0,1,0,25.848055,86.88914
1,14,7,1,24.521374,42.276474,1654.9299,7,1,0,1.6471723,78.54243
1,15,7,1,21.898785,48.633514,1958.9635,4,1,1,20.217733,77.228455
1,16,7,1,23.516264,52.37156,1517.1686,7,1,0,8.270639,73.73515
1,17,7,1,27.148117,43.120865,1296.5818,8,1,0,16.997025,91.84341
1,18,7,0,23.574354,52.851665,1491.88,2,0,0,24.460909,73.35071
1,19,7,1,20.516186,40.9185,1114.2301,8,0,1,20.489098,66.202095
1,20,7,1,23.15919,33.08815,1183.4937,6,0,1,15.654792,77.851776
1,21,7,0,29.988047,51.19663,1516.7527,2,1,0,16.10496,90.981476
1,22,7,1,22.87905,30.357761,1162.6593,7,1,1,13.390539,81.917076
1,23,7,1,24.617958,49.041225,1666.0437,6,0,1,21.600155,70.22462
1,0,1,0,27.35268,36.25925,1024.999,6,0,1,22.175022,88.73377
1,1,1,1,29.436789,48.84845,1234.0853,2,0,0,6.6628747,76.55502
1,2,1,0,21.754026,45.538643,1514.827,4,0,0,9.8461275,62.055054
1,3,1,0,22.124214,47.343914,1919.12,6,0,0,5.352019,62.001892
1,4,1,1,21.324776,33.615055,1857.2683,9,1,1,13.523867,80.452126
1,5,1,0,22.086811,43.838917,1325.6002,5,0,0,12.27482,64.71822
1,6,1,1,29.956879,56.788807,1864.7324,8,1,0,4.938738,91.87196
1,7,1,0,22.466457,45.22841,1902.8038,6,0,1,0.5770304,69.69226
1,8,1,0,21.100533,52.70578,1896.816,7,0,0,25.007683,63.850975
1,9,1,1,25.023203,43.5865,1434.5264,1,0,0,2.1751378,68.80528
1,10,1,1,24.561218,37.039318,1689.4554,3,0,0,21.331713,76.30131
1,11,1,0,27.344902,33.6833,1187.6138,2,0,1,17.663954,84.03868
1,12,1,0,26.209435,40.771603,1038.6768,1,0,0,14.779715,77.67379
1,13,1,1,26.210703,42.084183,1098.7993,7,0,0,1.5540918,78.91225
1,14,1,1,21.501726,43.353313,1546.5083,9,0,0,20.755903,64.04243
1,15,1,0,25.382746,51.9027,1350.7566,0,0,0,27.748043,78.18728
1,16,1,0,21.203472,49.61037,1529.6571,7,0,1,17.187332,63.39385
1,17,1,0,21.530254,42.016884,1660.5353,8,1,0,7.675987,76.10618
1,18,1,1,24.501785,48.58331,1631.6348,9,0,0,24.696388,60.144238
1,19,1,0,24.290724,36.987736,1847.3956,6,1,0,10.955155,80.19264
1,20,1,1,27.33662,50.87668,1143.1052,7,1,1,27.622484,86.22365
1,21,1,0,20.735716,48.506638,1836.5426,4,0,1,9.295439,53.26328
1,22,1,1,22.787859,43.95105,1134.0026,6,0,0,20.362583,64.96318
1,23,1,0,21.652937,56.137047,1140.6016,8,0,1,19.512861,66.43892
1,0,2,0,25.080881,59.671535,1897.7023,8,0,0,14.3918,75.91391
1,1,2,1,25.792511,33.892216,1849.8296,7,1,0,25.875969,84.19147
1,2,2,1,26.38608,43.295776,1851.5978,5,1,0,17.471964,75.25176
1,3,2,1,22.140257,49.424877,1037.2069,7,0,1,3.3299077,75.01447
1,4,2,0,24.175777,41.80015,1198.6252,6,0,0,18.470625,69.365746
1,5,2,1,24.668142,43.14091,1310.8749,0,0,1,22.936054,78.04604
1,6,2,1,20.830692,52.190178,1772.0857,7,0,0,21.711195,67.48479
1,7,2,0,25.702728,53.316654,1050.3176,8,1,0,26.817108,78.25429
1,8,2,0,22.285175,40.659912,1688.8909,4,1,1,19.455961,74.84338
1,9,2,0,20.357298,52.95667,1150.2852,8,1,0,21.068312,64.641914
1,10,2,0,29.645292,42.513607,1417.5933,7,1,1,7.7563133,89.08843
1,11,2,0,20.7466,39.363068,1907.1676,0,1,1,11.895548,73.15433
1,12,2,0,27.304802,48.595867,1348.3777,7,0,1,2.0506823,72.117096
1,13,2,1,25.026299,48.09544,1711.6094,7,1,1,0.06282656,76.721565
1,14,2,1,20.926107,46.185345,1619.5522,7,0,1,16.788692,65.97246
1,15,2,1,25.239494,43.078365,1601.8132,3,0,0,0.1949426,61.53671
1,16,2,1,24.34218,47.405956,1102.6057,8,0,0,1.3163304,77.384476
1,17,2,1,25.480164,55.321384,1408.2789,7,1,0,23.134024,76.07662
1,18,2,1,29.350069,30.88538,1045.0365,1,0,0,27.416817,74.867874
1,19,2,1,29.950502,42.42526,1679.7732,4,0,1,13.953181,86.28935
1,20,2,0,26.62318,37.72919,1361.2448,6,0,0,27.204342,83.87526
1,21,2,1,23.541304,34.534904,1712.2817,8,0,0,29.273697,83.458046
1,22,2,0,24.391571,53.03416,1982.7838,8,1,1,20.48767,81.996826
1,23,2,1,27.75516,39.848106,1355.3853,8,1,0,6.843563,86.64692
1,0,3,1,26.286905,40.706757,1384.3252,3,1,1,9.713537,75.98238
1,1,3,0,20.97991,58.115627,1179.4862,9,0,0,8.577366,70.71436
1,2,3,0,26.515862,58.656666,1389.6982,8,0,0,25.9344,81.74553
1,3,3,1,29.68616,33.999603,1419.462,5,1,1,11.944144,85.182556
1,4,3,1,22.36952,54.38706,1167.0981,9,1,0,25.046347,75.290405
1,5,3,0,23.927237,53.67576,1193.201,9,1,1,6.5172243,85.18198
1,6,3,0,20.826653,39.199615,1573.5115,9,1,1,27.637785,72.76704
1,7,3,0,28.235508,54.700474,1419.6414,5,0,1,21.388872,81.81978
